edit_dist,precision,recall,fscore,TrueNeg,FalsePos,FalseNeg,TruePos
0,0.0,0.0,,155415,3,15194,0
1,0.45695364238410596,0.004541266289324734,0.008993157380254154,155336,82,15125,69
2,0.7826633165829145,0.04100302751085955,0.07792370231394621,155245,173,14571,623
3,0.8530073978771309,0.1745425825983941,0.2897885592525815,154961,457,12542,2652
4,0.7689560766575407,0.4251678294063446,0.5475736384827294,153477,1941,8734,6460
5,0.4978207504634036,0.6540081611162301,0.565324989332954,145394,10024,5257,9937
6,0.20486150922998805,0.8231538765302093,0.32807397206374184,106874,48544,2687,12507
7,0.09266239853208082,0.9173357904435961,0.16832215251402383,18939,136479,1256,13938
8,0.08993087896465513,0.9659075951033302,0.16454206047559786,6902,148516,518,14676
9,0.08940662758703194,0.9837435829932868,0.16391590906598527,3185,152233,247,14947
10,0.08950142112742776,0.9948005791759905,0.16422743027260778,1653,153765,79,15115
11,0.08933296403462765,0.9976964591286034,0.1639830164696974,886,154532,35,15159
12,0.08928434951821608,0.9995392918257207,0.16392593272204262,508,154910,7,15187
13,0.08920739118436273,0.9999341845465315,0.1638015147839681,300,155118,1,15193
14,0.08914353440941601,0.9999341845465315,0.16369385919074272,178,155240,1,15193
15,0.08910653021728293,1.0,0.16363234953610217,97,155321,0,15194
16,0.08908563220075635,1.0,0.16359711223209816,57,155361,0,15194
17,0.08907518686794665,1.0,0.1635794992705995,37,155381,0,15194
18,0.0890683987150327,1.0,0.16356805287918097,24,155394,0,15194
19,0.089065266070319,1.0,0.16356277046956746,18,155400,0,15194
20,0.0890626557013816,1.0,0.16355836872218005,13,155405,0,15194
21,0.08906004548545168,1.0,0.163553967211703,8,155410,0,15194
22,0.08905952346062541,1.0,0.16355308693803516,7,155411,0,15194
23,0.08905847942933173,1.0,0.16355132641912584,5,155413,0,15194
24,0.08905795742286411,1.0,0.16355044617388403,4,155414,0,15194
25,0.0890574354225158,1.0,0.16354956593811726,3,155415,0,15194
26,0.08905691342828674,1.0,0.16354868571182538,2,155416,0,15194
27,0.08905639144017678,1.0,0.16354780549500822,1,155417,0,15194
28,0.08905639144017678,1.0,0.16354780549500822,1,155417,0,15194
29,0.08905639144017678,1.0,0.16354780549500822,1,155417,0,15194
30,0.08905586945818582,1.0,0.16354692528766562,0,155418,0,15194
