PoTAMOGETON PECTINATUS
Asplenium obliquum
Stephanandra chinensis
Menziesia polifolia
CAREX ORNITHOPODA
Azalea ledifolia
Verbena bonariensis
Lastrea glandulosa
Metrosideros buxifolia
Thalia geniculata
Calceolaria heterophylla
Equisetum sylvaticum
Caladenia leptochila
STOKESIA CYANEA
Campanula hederifolia
Silene crassicaulis
Taraxacum palustre
Androsace foliosa
Polygala Kurtzii
Sparganium NEGLECTUM
Pinus microcarpa
Carex laevigata
Relbunium pusillum
Gaultheria Cumingiana
Polygala alata
CERASTIUM aquaticum
Andromeda salicifolia
Carex tomentosa
SALVIA viscosa
Hedysarum canescens
Alyssum lunarioides
Aristolochia rotunda
Daphne Blagayana
Iris speculatrix
Gagea lutea
CoRYLus Avellana
Begonia seychellensis
Salix cordata
SpERMACOCE HYSSOPIFOLIA
PsiADiA rodriguesiana
Isodendrion pyrifolium
Selenipedium Kaieteurum
Clematis fasciculiflora
Primula cortusoides
Hedyotis graminicola
Orobanche barbata
Antholyza Merianella
Manihot palmata
Pachira Fendleri
Vicia segetalis
Brunia Levisanus
Micranthea hexandra
BIDENS tripartita
Salix Brownei
Abutilon ellipticum
Anthyllis ErinaCea
Angianthus axilliflorus
Carex elongata
SiDA RHOMBIFOLIA
Glyceria distans
Anchusa lutea
Vicia angustifolia
SESBANIA punicea
Tetramerista paniculata
Meibomia incana
Thysanotus multiflorus
Ononis Columnae
Pimpinella monoica
Lobelia foliosa
EUPHRASIA OFFICINALIS
Gentiana cruciata
Tulipa sylvestris
Geum glaciale
VALERIANA saxatilis
Arenaria maritima
Crinum Balfourii
Comocladia troyensis
SoPHORA viciiFOLiA
Aberia longispina
Ammobium alatum
Chrysanthemum indicum
Festuca rubra
Habenaria virescens
Rogeria adenophylla
Lobelia assurgens
Trollius Europaeus
Jaumea alternifolia
BRYONIA dioica
Ruppia maritima
Margaretta Whytei
SCROPHULARIA VERNALIS
Iris juncea
Orobanche micrantha
SERAPIAS lingua
Agrostis dispar
Potentilla caulescens
Fraxinus oxyphylla
Mucuna paniculata
Hedysarum procumbens
Platanthera bifolia
Placea pratensis
Faba vulgaris
Aconitum Hookeri
Matricaria Japonica
Wormia artocarpifolia
Symphytum tuberosum
Oncidium pubes
Ligustrum molliculum
VANDA pumila
Amellus spinulosus
Styphelia reflexa
Ervum Hirsutum
Nidorella resedifolia
Swietenia Soymida
Inula Britannica
Panax simplex
LILIUM Wallichianum
Acer pseudoplatanus
PYRETHRUM Parthenium
Plantago Cornuti
Desmodium triquetrum
Rubus infestus
Mertensia sibirica
Thalictrum ichangense
Gastrolobium bilobum
Senecio Lopezii
Lundia Chica
Palumbina Candida
Heritiera littoralis
Tephrosia crotalarioides
Picris hieracioides
Coronopus didymus
Martynia proboscidea
Knoxia corymbosa
Fedia olitoria
Plantago uniflora
Lilium Wallichianum
Malvastrum subtriflorum
Seseli glaucum
Camellia euryoides
Allamanda cathartica
Malva digitata
Verbena urticifolia
WuNDERLicHiA Glaziovii
Aegopodium podagraria
Parnassia PALUSTRIS
Weinmannia Itatiaiae
Rumex hydrolapathum
Ipomoea multisecta
POTENTILLA verna
Cephalostigma Schimperi
Polygonum serrulatum
Dombeya Wallichii
Poa vivipara
Arctagrostis latifolia
Delphinium nudicaule
Betonica grandiflora
PiPTocARPHA TOMENTosA
Geissorhiza Bojeri
Potentilla Collettiana
Colletia cruciata
Pelargonium quinatum
Ribes glandulosum
Stegolepis ferruginea
Gentiana punctata
FoENicuLUM VULGARE
VALERIANA officinalis
Gardenia Thunbergia
Convolvulus maritimus
Opuntia Ficus-indica
Atriplex maritima
Orchis acuminata
POLYSTICHUM ACULEATUM
Uvularia grandiflora
CAREX PAUCIFLORA
Dacrydium Beccarii
Tritonia aurea
Whitlavia grandiflora
Galeola Humblotii
COCHLEARIA danica
Cerasus Padus
Echium setosum
DAUCUS Carota
Carduus setosus
Rosa canina
Chrysosplenium alternifolium
Bersama integrifolia
Holcus sorghum
Lastrea dilatata
Rubia tinctoria
Convolvulus tricolor
Echium vulgare
Prunus sphaerocarpa
Chrysostemma tripteris
TECOMA fulva
Liparia angustifolia
